Run,Optimal degree,Number of Training Epochs,Train Error,Test Error
1,4.0e+00,3,0.31%,3.28%
2,4.0e+00,3,0.38%,3.28%
3,6.0e+00,2,0.03%,3.28%
4,7.0e+00,2,0.09%,2.80%
5,4.0e+00,3,0.13%,2.96%
6,4.0e+00,3,0.38%,2.96%
7,6.0e+00,2,0.11%,2.58%
8,4.0e+00,3,0.30%,3.28%
9,4.0e+00,3,0.31%,3.01%
10,4.0e+00,3,0.20%,3.60%
11,4.0e+00,3,0.26%,3.87%
12,6.0e+00,2,0.12%,2.90%
13,6.0e+00,2,0.16%,3.17%
14,6.0e+00,2,0.19%,2.53%
15,4.0e+00,3,0.22%,2.47%
16,4.0e+00,3,0.26%,4.03%
17,6.0e+00,2,0.07%,2.69%
18,4.0e+00,3,0.35%,3.82%
19,4.0e+00,3,0.38%,2.26%
20,7.0e+00,2,0.05%,3.82%
Across Runs,4.9e+00±1.1e+00,2.60±0.49,0.21%±0.11%,3.13%±0.50%
